id,participant,LLM_pt_competence,LLM_pt_surprise,LLM_pt_intention,LLM_gt_competence,LLM_gt_surprise,LLM_gt_intention,LLM_bin_correct_competence,LLM_bin_correct_surprise,LLM_bin_correct_intention,LLM_bin_pt_competence,LLM_bin_pt_surprise,LLM_bin_pt_intention,LLM_bin_gt_competence,LLM_bin_gt_surprise,LLM_bin_gt_intention,RF_pt_competence,RF_pt_surprise,RF_pt_intention,RF_gt_competence,RF_gt_surprise,RF_gt_intention,RF_bin_correct_competence,RF_bin_correct_surprise,RF_bin_correct_intention,RF_bin_pt_competence,RF_bin_pt_surprise,RF_bin_pt_intention,RF_bin_gt_competence,RF_bin_gt_surprise,RF_bin_gt_intention
/data/llm_social_nav_transformed/1713110825.4897027/npys/1713206071195984429_0.npy,1713110825,2,4,2,5,4,1,0,1,1,0,0,0,1,0,0,4,4,4,5,4,1,1,1,0,1,0,1,1,0,0
/data/llm_social_nav_transformed/1713201977.550016/npys/1713201985503631756_0.npy,1713201978,2,4,2,1,1,2,1,0,1,0,0,0,0,1,0,4,4,1,1,1,2,0,0,1,1,0,0,0,1,0
/data/llm_social_nav_transformed/1713201977.550016/npys/1713202019104172208_0.npy,1713201978,2,4,2,2,2,2,1,0,1,0,0,0,0,1,0,1,4,1,2,2,2,1,0,1,0,0,0,0,1,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713202071328087158_0.npy,1713203590,5,2,4,2,1,2,0,1,0,1,1,1,0,1,0,4,4,5,2,1,2,0,0,0,1,0,1,0,1,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713203597639578451_0.npy,1713203590,5,2,4,3,2,1,1,1,0,1,1,1,1,1,0,1,3,2,3,2,1,0,1,1,0,1,0,1,1,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713203642066207608_0.npy,1713203590,2,4,2,3,4,1,0,1,1,0,0,0,1,0,0,4,4,2,3,4,1,1,1,1,1,0,0,1,0,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713203695470979955_0.npy,1713203590,5,2,4,2,3,1,0,1,0,1,1,1,0,1,0,4,5,5,2,3,1,0,0,0,1,0,1,0,1,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713203732494759552_0.npy,1713203590,2,4,2,3,4,1,0,1,1,0,0,0,1,0,0,4,4,5,3,4,1,1,1,0,1,0,1,1,0,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713203766712988135_0.npy,1713203590,2,4,2,2,4,1,1,1,1,0,0,0,0,0,0,1,4,4,2,4,1,1,1,0,0,0,1,0,0,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713203821520171973_0.npy,1713203590,4,2,4,2,4,1,0,0,0,1,1,1,0,0,0,5,4,2,2,4,1,0,1,1,1,0,0,0,0,0
/data/llm_social_nav_transformed/1713203589.8971455/npys/1713203841528175520_0.npy,1713203590,4,2,4,2,2,1,0,1,0,1,1,1,0,1,0,5,4,4,2,2,1,0,0,0,1,0,1,0,1,0
/data/llm_social_nav_transformed/1713204524.642894/npys/1713204532405856551_0.npy,1713204525,2,4,2,1,1,5,1,0,0,0,0,0,0,1,1,4,3,1,1,1,5,0,1,0,1,1,0,0,1,1
/data/llm_social_nav_transformed/1713204524.642894/npys/1713204585225749239_0.npy,1713204525,1,5,1,1,4,1,1,1,1,0,0,0,0,0,0,2,4,1,1,4,1,1,1,1,0,0,0,0,0,0
/data/llm_social_nav_transformed/1713204524.642894/npys/1713204637436054198_0.npy,1713204525,5,2,4,5,1,4,1,1,1,1,1,1,1,1,1,2,2,1,5,1,4,0,1,0,0,1,0,1,1,1
/data/llm_social_nav_transformed/1713204524.642894/npys/1713204672049174297_0.npy,1713204525,2,4,2,4,4,2,0,1,1,0,0,0,1,0,0,4,4,1,4,4,2,1,1,1,1,0,0,1,0,0
